"id","icao","iata","name","city","municipality","country_id/id","elevation","latitude","longitude","tz","lid"
"aerodrome_YOBR","YOBR","","Old Bar Heritage Airport","","New South Wales","base.au","10","-31.9653","152.591","Australia/Sydney",""
"aerodrome_YODA","YODA","","Ooldea Airport","","South Australia","base.au","0","-30.4567","131.823","Australia/Adelaide",""
"aerodrome_YODL","YODL","","Ourdel Airport","","Queensland","base.au","0","-25.35","142.633","Australia/Brisbane",""
"aerodrome_YOEN","YOEN","OPI","Oenpelli Airport","","Northern Territory","base.au","30","-12.325","133.006","Australia/Darwin",""
"aerodrome_YOIT","YOIT","","Orielton Airport","","Queensland","base.au","0","-22.0667","144.14999","Australia/Brisbane",""
"aerodrome_YOKE","YOKE","","Oakvale Airport","","Queensland","base.au","0","-22.2667","145.983","Australia/Brisbane",""
"aerodrome_YOKV","YOKV","","Oak Valley Airport","","South Australia","base.au","0","-29.5167","130.867","Australia/Adelaide",""
"aerodrome_YOLA","YOLA","XCO","Colac Airport","","Victoria","base.au","137","-38.2867","143.67999","Australia/Melbourne",""
"aerodrome_YOLD","YOLD","OLP","Olympic Dam Airport","Olympic Dam","South Australia","base.au","343","-30.485","136.877","Australia/Adelaide",""
"aerodrome_YOLW","YOLW","ONS","Onslow Airport","","Western Australia","base.au","7","-21.6683","115.113","Australia/Perth",""
"aerodrome_YOLY","YOLY","","Oxley Station Airport","","New South Wales","base.au","518","-31.0133","147.711","Australia/Sydney",""
"aerodrome_YOMI","YOMI","","Omicron Station Airport","","Queensland","base.au","0","-28.7667","141.2","Australia/Brisbane",""
"aerodrome_YOMO","YOMO","","Omeo Airport","","Victoria","base.au","0","-37.0967","147.593","Australia/Melbourne",""
"aerodrome_YOOD","YOOD","ODD","Oodnadatta Airport","","South Australia","base.au","118","-27.5617","135.44701","Australia/Adelaide",""
"aerodrome_YOOK","YOOK","","Cook Airport","","South Australia","base.au","0","-30.6183","130.40601","Australia/Adelaide",""
"aerodrome_YOOM","YOOM","MOO","Moomba Airport","","South Australia","base.au","143","-28.0994","140.19701","Australia/Adelaide",""
"aerodrome_YOOO","YOOO","","Mooloola Homestead Airport","","Northern Territory","base.au","0","-16.3333","131.5","Australia/Darwin",""
"aerodrome_YORA","YORA","","Moonerah Airport","","Western Australia","base.au","0","-31.6894","126.586","Australia/Eucla",""
"aerodrome_YORB","YORB","RBS","Orbost Airport","","Victoria","base.au","28","-37.79","148.61","Australia/Melbourne",""
"aerodrome_YORG","YORG","OAG","Orange Airport","Orange","New South Wales","base.au","3115","-33.3817","149.133","Australia/Sydney",""
"aerodrome_YORL","YORL","","Orleans Farm Airport","","Western Australia","base.au","0","-33.7833","122.95","Australia/Perth",""
"aerodrome_YORR","YORR","","Orroroo Airport","","South Australia","base.au","381","-32.7733","138.66499","Australia/Adelaide",""
"aerodrome_YORT","YORT","","Ooratippra Airport","","Northern Territory","base.au","0","-21.9058","136.069","Australia/Darwin",""
"aerodrome_YORV","YORV","ODR","Ord River Airport","Ord River","Western Australia","base.au","390","-17.3408","128.912","Australia/Perth",""
"aerodrome_YORW","YORW","","Orient Well Airport","","Western Australia","base.au","0","-29.1992","121.438","Australia/Perth",""
"aerodrome_YOSB","YOSB","OSO","Osborne Mine Airport","","Queensland","base.au","285","-22.0817","140.55499","Australia/Brisbane",""
"aerodrome_YOTN","YOTN","","Ootann Airport","","Queensland","base.au","0","-17.4333","144.633","Australia/Brisbane",""
"aerodrome_YOUN","YOUN","","Youanmi Airport","","Western Australia","base.au","0","-28.615","118.842","Australia/Perth",""
"aerodrome_YOUY","YOUY","OYN","Ouyen Airport","","Victoria","base.au","0","-35.08901","142.35449","Australia/Melbourne",""
"aerodrome_YPAC","YPAC","","Pacific Haven Airport","","Queensland","base.au","0","-25.2367","152.543","Australia/Brisbane",""
"aerodrome_YPAD","YPAD","ADL","Adelaide International Airport","Adelaide","South Australia","base.au","20","-34.945","138.53101","Australia/Adelaide",""
"aerodrome_YPAG","YPAG","PUG","Port Augusta Airport","","South Australia","base.au","56","-32.5069","137.717","Australia/Adelaide",""
"aerodrome_YPAM","YPAM","PMK","Palm Island Airport","","Queensland","base.au","28","-18.7553","146.58099","Australia/Brisbane",""
"aerodrome_YPAY","YPAY","","Papunya Airport","","Northern Territory","base.au","620","-23.2467","131.903","Australia/Darwin",""
"aerodrome_YPBH","YPBH","","Peterborough Airport","","Victoria","base.au","0","-38.6","142.91701","Australia/Currie",""
"aerodrome_YPBO","YPBO","PBO","Paraburdoo Airport","Paraburdoo","Western Australia","base.au","1406","-23.1711","117.745","Australia/Perth",""
"aerodrome_YPCC","YPCC","CCK","Cocos (Keeling) Islands Airport","Cocos (Keeling) Islands","","base.cc","10","-12.1883","96.8339","Indian/Cocos",""
"aerodrome_YPCE","YPCE","","Pooncarie Airport","","New South Wales","base.au","50","-33.3667","142.588","Australia/Sydney",""
"aerodrome_YPCH","YPCH","","Patchewollock Airport","","Victoria","base.au","0","-35.3667","142.14999","Australia/Melbourne",""
"aerodrome_YPCS","YPCS","","Pinnacles Homestead Airport","","Western Australia","base.au","0","-28.2","120.433","Australia/Perth",""
"aerodrome_YPDI","YPDI","PDE","Pandie Pandie Airport","","South Australia","base.au","0","-26.1167","139.39999","Australia/Adelaide",""
"aerodrome_YPDN","YPDN","DRW","Darwin International Airport","Darwin","Northern Territory","base.au","103","-12.4147","130.877","Australia/Darwin",""
"aerodrome_YPDO","YPDO","PRD","Pardoo Airport","Pardoo","Western Australia","base.au","0","-20.1175","119.59","Australia/Perth",""
"aerodrome_YPDY","YPDY","","Padthaway Station Airport","","South Australia","base.au","0","-36.6167","140.483","Australia/Adelaide",""
"aerodrome_YPEA","YPEA","","RAAF Base Pearce","Bullsbrook","Western Australia","base.au","149","-31.6678","116.015","Australia/Perth",""
"aerodrome_YPEC","YPEC","BEO","Aeropelican Airport","","New South Wales","base.au","2","-33.0667","151.64799","Australia/Sydney",""
"aerodrome_YPED","YPED","","RAAF Base Edinburgh","Adelaide","South Australia","base.au","67","-34.7025","138.621","Australia/Adelaide",""
"aerodrome_YPEF","YPEF","","Penfield Airfield","Sunbury","Victoria","base.au","1150","-37.5133","144.698","Australia/Melbourne",""
"aerodrome_YPFT","YPFT","","Cooma/Polo Flat (Unlic) Airport","","New South Wales","base.au","823","-36.23","149.14999","Australia/Sydney",""
"aerodrome_YPGH","YPGH","","Pigeon Hole Airport","","Northern Territory","base.au","0","-16.8167","131.217","Australia/Darwin",""
"aerodrome_YPGV","YPGV","GOV","Gove Airport","Nhulunbuy","Northern Territory","base.au","192","-12.2694","136.81799","Australia/Darwin",""
"aerodrome_YPID","YPID","","Phillip Island Airport","","Victoria","base.au","13","-38.5233","145.327","Australia/Hobart",""
"aerodrome_YPIN","YPIN","","Pinnacle Airport","","Queensland","base.au","0","-15.6667","143.55","Australia/Brisbane",""
"aerodrome_YPIR","YPIR","PPI","Port Pirie Airport","","South Australia","base.au","40","-33.2389","137.995","Australia/Adelaide",""
"aerodrome_YPIX","YPIX","","Pia Airport","","Western Australia","base.au","0","-27.1917","116.292","Australia/Perth",""
"aerodrome_YPIY","YPIY","","Pingelly Airport","","Western Australia","base.au","0","-32.54","117.073","Australia/Perth",""
"aerodrome_YPJI","YPJI","","Perenjori Airport","","Western Australia","base.au","0","-29.4333","116.283","Australia/Perth",""
"aerodrome_YPJT","YPJT","JAD","Perth Jandakot Airport","Perth","Western Australia","base.au","99","-32.0975","115.881","Australia/Perth",""
"aerodrome_YPKA","YPKA","KTA","Karratha Airport","Karratha","Western Australia","base.au","29","-20.7122","116.773","Australia/Perth",""
"aerodrome_YPKE","YPKE","","Peake Airport","","South Australia","base.au","0","-28.25","135.89999","Australia/Adelaide",""
"aerodrome_YPKG","YPKG","KGI","Kalgoorlie Boulder Airport","Kalgoorlie","Western Australia","base.au","1203","-30.7894","121.462","Australia/Perth",""
"aerodrome_YPKH","YPKH","","Peak Hill Airport","","New South Wales","base.au","0","-32.75","148.2","Australia/Sydney",""
"aerodrome_YPKI","YPKI","","Parakylia Airport","","South Australia","base.au","0","-30.4","136.392","Australia/Adelaide",""
"aerodrome_YPKL","YPKL","","Puckapunyal (Military) Airport","","Victoria","base.au","168","-37.0","145.063","Australia/Melbourne",""
"aerodrome_YPKS","YPKS","PKE","Parkes Airport","Parkes","New South Wales","base.au","1069","-33.1314","148.239","Australia/Sydney",""
"aerodrome_YPKT","YPKT","PKT","Port Keats Airport","","Northern Territory","base.au","91","-14.25","129.52901","Australia/Darwin",""
"aerodrome_YPKU","YPKU","KNX","Kununurra Airport","Kununurra","Western Australia","base.au","145","-15.7781","128.70799","Australia/Perth",""
"aerodrome_YPLC","YPLC","PLO","Port Lincoln Airport","Port Lincoln","South Australia","base.au","36","-34.6053","135.88","Australia/Adelaide",""
"aerodrome_YPLG","YPLG","","Pilliga Airport","","New South Wales","base.au","0","-30.3667","148.883","Australia/Sydney",""
"aerodrome_YPLI","YPLI","","Palmers Island/Yamba Airport","","New South Wales","base.au","0","-29.4458","153.267","Australia/Sydney",""
"aerodrome_YPLL","YPLL","","Peak Hill Airport","","Western Australia","base.au","0","-25.6","118.683","Australia/Perth",""
"aerodrome_YPLM","YPLM","LEA","Learmonth Airport","Exmouth","Western Australia","base.au","19","-22.2356","114.089","Australia/Perth",""
"aerodrome_YPLU","YPLU","","Plutonic Airport","","Western Australia","base.au","0","-25.3333","119.425","Australia/Perth",""
"aerodrome_YPMB","YPMB","","Plumbago Airport","","South Australia","base.au","0","-32.0533","139.87199","Australia/Adelaide",""
