"id","code","aerodrome_id/id","length","length_uom_id/id","width","width_uom_id/id"
"runway_KSIK_02","02","aerodrome_KSIK","1677.01","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSIK_20","20","aerodrome_KSIK","1677.01","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSIV_18","18","aerodrome_KSIV","1328.93","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSIV_36","36","aerodrome_KSIV","1328.93","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSIY_17","17","aerodrome_KSIY","2281.12","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSIY_35","35","aerodrome_KSIY","2281.12","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSJC_12L","12L","aerodrome_KSJC","3352.8","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSJC_30R","30R","aerodrome_KSJC","3352.8","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSJC_12R","12R","aerodrome_KSJC","3352.8","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSJC_30L","30L","aerodrome_KSJC","3352.8","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSJN_03","03","aerodrome_KSJN","1036.32","uom.product_uom_meter","18.29","uom.product_uom_meter"
"runway_KSJN_21","21","aerodrome_KSJN","1036.32","uom.product_uom_meter","18.29","uom.product_uom_meter"
"runway_KSJN_14","14","aerodrome_KSJN","1622.15","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSJN_32","32","aerodrome_KSJN","1622.15","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSJT_03","03","aerodrome_KSJT","1810.21","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSJT_21","21","aerodrome_KSJT","1810.21","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSJT_09","09","aerodrome_KSJT","1341.73","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSJT_27","27","aerodrome_KSJT","1341.73","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSJT_18","18","aerodrome_KSJT","2453.34","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSJT_36","36","aerodrome_KSJT","2453.34","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSJX_05","05","aerodrome_KSJX","649.22","uom.product_uom_meter","36.58","uom.product_uom_meter"
"runway_KSJX_23","23","aerodrome_KSJX","649.22","uom.product_uom_meter","36.58","uom.product_uom_meter"
"runway_KSJX_09","09","aerodrome_KSJX","1310.64","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSJX_27","27","aerodrome_KSJX","1310.64","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSJX_14","14","aerodrome_KSJX","1005.84","uom.product_uom_meter","36.58","uom.product_uom_meter"
"runway_KSJX_32","32","aerodrome_KSJX","1005.84","uom.product_uom_meter","36.58","uom.product_uom_meter"
"runway_KSKA_05","05","aerodrome_KSKA","4237.02","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_KSKA_23","23","aerodrome_KSKA","4237.02","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_KSKF_15","15","aerodrome_KSKF","3520.44","uom.product_uom_meter","91.44","uom.product_uom_meter"
"runway_KSKF_33","33","aerodrome_KSKF","3520.44","uom.product_uom_meter","91.44","uom.product_uom_meter"
"runway_KSKI_14","14","aerodrome_KSKI","716.28","uom.product_uom_meter","18.29","uom.product_uom_meter"
"runway_KSKI_32","32","aerodrome_KSKI","716.28","uom.product_uom_meter","18.29","uom.product_uom_meter"
"runway_KSKI_18","18","aerodrome_KSKI","1249.68","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSKI_36","36","aerodrome_KSKI","1249.68","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSKX_04","04","aerodrome_KSKX","1767.23","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSKX_22","22","aerodrome_KSKX","1767.23","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSLB_06","06","aerodrome_KSLB","620.88","uom.product_uom_meter","27.43","uom.product_uom_meter"
"runway_KSLB_24","24","aerodrome_KSLB","620.88","uom.product_uom_meter","27.43","uom.product_uom_meter"
"runway_KSLB_13","13","aerodrome_KSLB","924.76","uom.product_uom_meter","15.24","uom.product_uom_meter"
"runway_KSLB_31","31","aerodrome_KSLB","924.76","uom.product_uom_meter","15.24","uom.product_uom_meter"
"runway_KSLB_17","17","aerodrome_KSLB","1524.0","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSLB_35","35","aerodrome_KSLB","1524.0","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSLC_14","14","aerodrome_KSLC","1491.08","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSLC_32","32","aerodrome_KSLC","1491.08","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSLC_16L","16L","aerodrome_KSLC","3658.82","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSLC_34R","34R","aerodrome_KSLC","3658.82","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSLC_16R","16R","aerodrome_KSLC","3657.6","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSLC_34L","34L","aerodrome_KSLC","3657.6","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSLC_17","17","aerodrome_KSLC","2924.86","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSLC_35","35","aerodrome_KSLC","2924.86","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSLE_13","13","aerodrome_KSLE","1771.19","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSLE_31","31","aerodrome_KSLE","1771.19","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSLE_16","16","aerodrome_KSLE","1568.2","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSLE_34","34","aerodrome_KSLE","1568.2","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSLG_18","18","aerodrome_KSLG","1523.7","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSLG_36","36","aerodrome_KSLG","1523.7","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSLH_10","10","aerodrome_KSLH","1219.2","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSLH_28","28","aerodrome_KSLH","1219.2","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSLH_17","17","aerodrome_KSLH","457.2","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSLH_35","35","aerodrome_KSLH","457.2","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSLI_04L","04L","aerodrome_KSLI","1798.32","uom.product_uom_meter","45.72","uom.product_uom_meter"
